2384000.0,5.0,2.5,3650,9050,2.0,3370,280,1921
490000.0,2.0,1.0,880,6380,1.0,880,0,1938
640000.0,4.0,2.0,1520,6200,1.5,1520,0,1945
1400000.0,4.0,2.5,2920,4000,1.5,1910,1010,1909
365000.0,3.0,1.0,1090,6435,1.0,1090,0,1955
1200000.0,5.0,2.75,2910,9480,1.5,2910,0,1939
750000.0,3.0,1.75,2240,10578,2.0,1550,690,1923
626000.0,3.0,2.25,1750,1572,2.5,1470,280,2005
495000.0,4.0,1.75,1600,6380,1.0,1130,470,1959
615000.0,3.0,1.75,2360,7291,1.0,1360,1000,1948
790000.0,3.0,2.5,2600,4750,1.0,1700,900,1951
650000.0,4.0,2.0,1820,5000,1.5,1640,180,1945
440000.0,2.0,1.0,800,4850,1.0,800,0,1944
750000.0,3.0,2.5,2390,6550,1.0,1440,950,1955
439950.0,3.0,2.5,1770,2875,2.0,1770,0,1990
235000.0,2.0,1.0,1210,9400,1.0,1210,0,1949
445700.0,3.0,2.5,1270,1180,3.0,1270,0,2001
805000.0,3.0,2.0,2710,4500,1.5,1880,830,1929
385000.0,3.0,3.25,1320,1327,2.0,1040,280,2008
295000.0,2.0,2.5,1630,1368,2.0,1280,350,2009
553000.0,2.0,1.0,900,5000,1.0,900,0,1944
783500.0,3.0,2.5,2850,7130,2.0,1990,860,1980
628000.0,4.0,2.0,2280,6010,1.0,1140,1140,1900
531000.0,2.0,3.0,1270,1175,2.0,1110,160,2000
831000.0,4.0,3.0,2170,4000,2.0,1610,560,1982
580000.0,2.0,1.0,2540,7000,1.0,1320,1220,1942
549000.0,2.0,1.0,1140,5400,1.0,1140,0,1908
405000.0,2.0,3.0,1410,1240,2.0,1140,270,2006
650000.0,3.0,1.5,2160,9000,1.0,1400,760,1949
823000.0,6.0,1.75,2920,5000,2.5,2780,140,1908
770000.0,3.0,2.0,2350,5700,1.5,1810,540,1939
524000.0,3.0,1.75,1560,5520,1.0,780,780,1944
670000.0,3.0,2.5,1680,2000,3.0,1680,0,1909
406100.0,3.0,2.25,1410,1332,3.0,1410,0,2005
1395000.0,5.0,3.5,4010,8510,2.0,2850,1160,1971
435000.0,5.0,2.0,1840,9240,1.0,1540,300,1942
400000.0,2.0,1.0,840,5510,1.0,840,0,1955
657100.0,4.0,1.0,1390,4240,1.0,1050,340,1924
740000.0,4.0,1.75,2010,3600,1.5,2010,0,1902
398750.0,3.0,2.5,2230,4000,2.0,2230,0,1954
